שם הקרן,מס' קרן,פרופיל חשיפה מניות,"פרופיל חשיפה מט""ח",סיווג הקרן כותרת על,סיווג הקרן כותרת ראשית,סיווג הקרן כותרת משנית,מאפייני הקרן,מנהל קרן,נאמן,מעמד מס,דמי ניהול,דמי נאמנות,שווי נכסי הקרן,תאריך נכונות,מחיר קניה,מחיר פדיון,שינוי יומי %,תשואות מתחילת החודש,תשואות מתחילת השנה,תשואות 12 חודשים,סטיית תקן,נכס ייחוס,סיווג עמלת הפצה
מגדל מעוף כפליים ממונפת,5103304,6,A,ממונפות ואסטרטגיות,ממונפות בסיכון גבוה,,הקרן הינה קרן ממונפת,מגדל,אלמגור-בריטמן נאמנות,פטורה,2.810,0.0500,65.8,26.02.2026,1440.60,1440.60,‎-2.75,4.31,26.08,148.95,3.93,"ת""א-35",0.35%
"קסם אקטיב אג""ח מדינה",5103361,0,B,"אג""ח בארץ - מדינה","אג""ח מדינה כללי - ללא מניות",,,קסם,אלמגור-בריטמן נאמנות,חייבת,1.070,0.0400,40.3,26.02.2026,143.02,143.02,‎-0.01,0.10,0.48,3.47,0.04,"תל גוב-מק""מ,תל גוב-צמודות 0-2",0.2%
קסם אקט ! קונ חול מנ חייב,5103387,0,A,"אג""ח בחו""ל","אג""ח מוגנת מט""ח",,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ",קסם,אלמגור-בריטמן נאמנות,חייבת,0.590,0.0400,239.2,25.02.2026,116.89,116.89,0.03,0.85,1.39,6.93,0.11,Bloomberg Intermediate Corporate Total Return Index Value Unhedged USD - GTR,0.35%
הראל כספית דולר נזיל חיבת,5103403,0,D,קרן כספית,"כספית מט""חית עם קונצרני",חשופת דולר,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ",הראל,יובנק נאמנות,חייבת,0.590,0.0200,42.7,25.02.2026,91.65,91.65,‎-0.40,0.10,‎-2.53,‎-10.16,1.06,"אחר,דולר ארה""ב",0.1%
קסם אקטיב (4D) מניות US,5103486,4,D,"מניות בחו""ל",מניות גאוגרפי,"ארה""ב חשופת מט""ח","הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,קרן להשקעות חוץ – מטבע עיקרי - דולר ארה""ב,קרן להשק חוץ-פטור ממס לתושבי חוץ",קסם,אלמגור-בריטמן נאמנות,פטורה,1.700,0.0300,9.7,25.02.2026,205.91,205.91,0.47,‎-1.84,‎-2.95,‎-9.00,1.23,"S&P 500 - NTR,דולר ארה""ב",0.35%
איביאי ILמנ Large&MidCap,5103494,4,A,מניות בארץ,מניות לפי שווי שוק,מניות Large & Mid Cap,,"איביאי קרנות נאמנות ",יובנק נאמנות,פטורה,1.550,0.0500,91.3,26.02.2026,341.42,341.42,‎-0.59,3.03,12.32,70.51,2.14,"ת""א 125",0.35%
איביאי כספית שקלית,5103510,0,0,קרן כספית,כספית שקלית,כספית שקלית עם קונצרני,,"איביאי קרנות נאמנות ",יובנק נאמנות,פטורה,0.200,0.0100,2377.0,26.02.2026,154.79,154.79,0.00,0.27,0.61,4.69,0.00,"תל גוב-מק""מ",0.1%
כוון (2B)י 30/70,5103569,2,B,"אג""ח בארץ - כללי","אג""ח כללי בארץ - עד 30% מניות",,,איילון,יובנק נאמנות,פטורה,0.790,0.0450,16.1,26.02.2026,340.73,340.73,‎-0.23,0.64,3.41,19.68,0.66,All-Bond כללי,0.35%
"מגדל 0D אג""ח $ בינל נקוב$",5103585,0,D,"אג""ח בחו""ל","אג""ח נקובת מט""ח",,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,יחידות הקרן נקובות ב- $,קרן להשק חוץ-פטור ממס לתושבי חוץ",מגדל,אלמגור-בריטמן נאמנות,פטורה,0.950,0.0400,33.8,25.02.2026,179.08,179.08,‎-0.47,1.38,‎-1.72,‎-7.08,1.16,S&P 500 Bond Mega 30 Investment Grade 3-5 Year - GTR,0.35%
איביאי 4D סין קרן נאמנות,5103593,4,D,"מניות בחו""ל",מניות גאוגרפי,"מניות גיאוגרפי אחר חשופת מט""ח","הקרן הינה קרן בלתי מוגבלת בני""ע חוץ","איביאי קרנות נאמנות ",יובנק נאמנות,פטורה,1.950,0.0500,23.4,25.02.2026,213.18,213.18,‎-1.60,‎-6.43,‎-1.47,7.82,2.15,"FTSE China 50 - NTR,דולר הונג קונג",0.35%
"מגדל אג""ח ללא מניות",5103676,0,0,"אג""ח בארץ - כללי","אג""ח כללי בארץ - ללא מניות","אג""ח כללי בארץ ללא מניות וללא סימן קריאה",,מגדל,יובנק נאמנות,פטורה,0.690,0.0400,237.6,26.02.2026,168.55,168.55,‎-0.29,‎-0.54,0.14,6.21,0.33,All-Bond כללי,0.35%
מיטב סקי מניות,5103692,4,A,מניות בארץ,מניות לפי שווי שוק,מניות All Cap,,מיטב קרנות נאמנות,יובנק נאמנות,פטורה,1.590,0.0300,622.4,26.02.2026,1016.59,1016.59,‎-0.72,1.76,9.64,61.81,1.87,מניות כללי,0.35%
"אש (4B) נדל""ן",5103700,4,B,מניות בארץ,מניות לפי ענפים,,,אלטשולר-שחם קרנות,יובנק נאמנות,פטורה,1.240,0.0400,152.6,26.02.2026,1266.84,1266.84,‎-0.45,‎-1.77,‎-0.02,22.50,2.50,"ת""א נדל""ן",0.35%
קסם אקט אגח חול 2029 נקוב,5103718,0,D,"אג""ח בחו""ל","אג""ח נקובת מט""ח",,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,יחידות הקרן נקובות ב- $",קסם,אלמגור-בריטמן נאמנות,חייבת,0.460,0.0400,102.9,25.02.2026,147.84,147.84,‎-0.43,0.71,‎-2.30,‎-9.50,1.17,Bloomberg U.S. AGG 1-3 Year Total Return Value Unhedged,0.35%
קסם אקטיב תיק+20% אגד חוץ,5103726,2,D,אגד קרנות,אגד חוץ,,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,קרן להשקעות חוץ – מטבע עיקרי - דולר ארה""ב,קרן להשק חוץ-פטור ממס לתושבי חוץ",קסם,אלמגור-בריטמן נאמנות,פטורה,0.750,0.0400,14.3,25.02.2026,108.67,108.67,‎-0.30,0.28,‎-2.23,‎-7.25,1.01,"The Bloomberg Global Aggregate Bond Index,MSCI AC WORLD INDEX - NTR,דולר ארה""ב",0.35%
מגדל הודו,5103759,4,D,"מניות בחו""ל",מניות גאוגרפי,"מניות גיאוגרפי אחר חשופת מט""ח","הקרן הינה קרן בלתי מוגבלת בני""ע חוץ",מגדל,אלמגור-בריטמן נאמנות,פטורה,1.950,0.0500,51.5,25.02.2026,334.49,334.49,‎-0.46,2.29,‎-4.85,‎-10.23,1.90,"CNX NIFTY- GTR,רופי הודי",0.35%
מיטב עוקבת תיק 1 בינלאומי,5103767,1,B,"אג""ח בארץ - כללי","אג""ח כללי בארץ - עד 5% מניות",,הקרן עוקבת תיק של - הבנק הבינלאומי הראשון לישראל,מיטב קרנות נאמנות,יובנק נאמנות,פטורה,0.690,0.0300,69.1,26.02.2026,175.84,175.84,‎-0.09,0.22,0.95,6.89,0.16,All-Bond כללי,0.35%
איילון (2B)י 15/85,5103809,2,B,"אג""ח בארץ - כללי","אג""ח כללי בארץ - עד 15% מניות",,,איילון,יובנק נאמנות,פטורה,0.650,0.0400,24.3,26.02.2026,183.87,183.87,‎-0.24,‎-0.07,1.79,9.96,0.38,"All-Bond כללי,ת""א 125",0.35%
הראל ספיר מניות,5103999,4,B,מניות בארץ,מניות לפי שווי שוק,מניות All Cap,,הראל,יובנק נאמנות,פטורה,0.590,0.0400,123.4,26.02.2026,1001.07,981.44,‎-0.01,‎-1.86,7.19,76.12,2.45,"ת""א 125",0.35%
מיטב מניות ישראל,5104153,4,B,מניות בארץ,מניות לפי שווי שוק,מניות All Cap,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ",מיטב קרנות נאמנות,מזרחי טפחות נאמנות,פטורה,1.680,0.0400,236.3,25.02.2026,751.44,751.44,‎-0.38,3.69,14.80,69.07,1.46,מניות כללי,0.35%
"אנליסט 0D ! אג""ח חו""ל ללא",5104237,0,D,"אג""ח בחו""ל","אג""ח חשופת מט""ח",,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ",אנליסט,מזרחי טפחות נאמנות,פטורה,0.790,0.0250,77.2,25.02.2026,107.68,107.68,‎-0.43,0.71,‎-1.85,‎-6.53,1.04,"Bloomberg US Credit Total Return Value Unhedged USD – GTR,דולר ארה""ב",0.35%
קסם אקט עוקב מרכ נזיל בינ,5104252,0,A,"אג""ח בארץ - חברות והמרה",חברות והמרה ללא מניות,"חברות והמרה ללא מניות וללא סימן קריאה, עם מגבלת מח""מ עד 5 שנים",הקרן עוקבת תיק של - הבנק הבינלאומי הראשון לישראל,קסם,יובנק נאמנות,פטורה,0.520,0.0400,76.5,26.02.2026,555.66,555.66,‎-0.09,0.09,0.49,5.06,0.13,"תל בונד-צמודות 1-3,תל בונד-שקלי 1-3",0.35%
קסם אקטיב יפן,5104278,4,D,"מניות בחו""ל",מניות גאוגרפי,"מניות גיאוגרפי אחר חשופת מט""ח","הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,קרן להשק חוץ-פטור ממס לתושבי חוץ",קסם,יובנק נאמנות,פטורה,1.950,0.0400,19.3,25.02.2026,313.60,313.60,‎-0.18,6.71,8.11,24.44,2.70,"NIKKEI 225 - NTR,יין יפני",0.35%
אנליסט אסטרטגיות,5104328,5,C,ממונפות ואסטרטגיות,אסטרטגיות (לא ממונפות),,,אנליסט,מזרחי טפחות נאמנות,פטורה,3.520,0.0300,12.6,26.02.2026,577.54,577.54,‎-0.21,1.54,4.91,49.35,2.11,מניות כללי,0.35%
"איביאי 0D ! אג דולר בינ""ל",5104393,0,D,"אג""ח בחו""ל","אג""ח חשופת דולר",,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,קרן להשקעות חוץ – מטבע עיקרי - דולר ארה""ב,קרן להשק חוץ-פטור ממס לתושבי חוץ","איביאי קרנות נאמנות ",יובנק נאמנות,פטורה,0.980,0.0500,122.2,25.02.2026,104.91,104.91,‎-0.43,0.67,‎-1.85,‎-6.37,1.02,"Bloomberg Intermediate Corporate Total Return Index Value Unhedged USD - GTR,דולר ארה""ב",0.35%
"מגדל אסטרטגיות אג""ח מדינה",5104419,0,A,ממונפות ואסטרטגיות,אסטרטגיות (לא ממונפות),,,מגדל,יובנק נאמנות,פטורה,1.090,0.0500,48.1,26.02.2026,170.50,170.50,‎-0.27,0.26,1.14,6.47,0.32,תל גוב-כללי,0.35%
הראל 10/90 - כשרה,5104476,1,B,"אג""ח בארץ - כללי","אג""ח כללי בארץ - עד 10% מניות","אג""ח כללי בארץ- עד 10% מניות ללא סימן קריאה",קרן כשרה,הראל,יובנק נאמנות,פטורה,1.230,0.0400,58.7,26.02.2026,202.83,202.83,‎-0.31,‎-0.33,0.64,7.02,0.32,"All-Bond כללי,ת""א 125",0.35%
ת.פ (2B)י 15/85,5104518,2,B,"אג""ח בארץ - כללי","אג""ח כללי בארץ - עד 15% מניות",,,תמיר פישמן,יובנק נאמנות,פטורה,0.690,0.0500,653.4,26.02.2026,250.28,250.28,‎-0.19,0.11,1.32,12.05,0.37,"All-Bond כללי,מניות כללי",0.35%
מגדל MID CAP גרמניה ממ,5104666,4,A,"מניות בחו""ל",מניות גאוגרפי,"מניות גאוגרפי מוגנת מט""ח","הקרן הינה קרן בלתי מוגבלת בני""ע חוץ",מגדל,אלמגור-בריטמן נאמנות,פטורה,1.850,0.0500,6.9,25.02.2026,230.28,230.17,‎-0.12,2.05,2.86,14.19,1.65,MDAX - NTR,0.35%
הפניקסקסם תיק קונצרנימדור,5104732,0,B,"אג""ח בארץ - חברות והמרה",חברות והמרה ללא מניות,חברות והמרה ללא מניות וללא סימן קריאה,,קסם,יובנק נאמנות,פטורה,0.890,0.0400,526.0,26.02.2026,207.57,207.57,‎-0.21,‎-0.21,0.38,6.40,0.35,"אג""ח כללי - קונצרני",0.35%
קסם אקט ! תיק קונצרנ 4,5104773,0,B,"אג""ח בארץ - חברות והמרה",חברות והמרה ללא מניות,חברות והמרה ללא מניות עם סימן קריאה,,קסם,יובנק נאמנות,פטורה,0.770,0.0300,411.9,26.02.2026,233.71,233.71,‎-0.24,‎-0.58,0.09,4.33,0.28,"אג""ח כללי - קונצרני",0.35%
קסם אקטיב מניות אירופה,5104781,4,D,"מניות בחו""ל",מניות גאוגרפי,"מניות גיאוגרפי אחר חשופת מט""ח","הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,קרן להשק חוץ-פטור ממס לתושבי חוץ",קסם,יובנק נאמנות,פטורה,1.940,0.0400,25.9,25.02.2026,353.32,353.32,1.11,2.50,2.79,12.69,1.59,"STOXX Europe 600 - NTR,אירו",0.35%
הראל נבחרת 10/90,5104823,1,B,"אג""ח בארץ - כללי","אג""ח כללי בארץ - עד 10% מניות","אג""ח כללי בארץ- עד 10% מניות ללא סימן קריאה",,הראל,יובנק נאמנות,פטורה,0.690,0.0400,254.2,26.02.2026,166.37,166.37,‎-0.20,0.13,1.25,10.05,0.30,"All-Bond כללי,ת""א 125",0.35%
מגדל עוקב תיק 1 הבינלאומי,5104831,1,B,"אג""ח בארץ - כללי","אג""ח כללי בארץ - עד 5% מניות",,הקרן עוקבת תיק של - הבנק הבינלאומי הראשון לישראל,מגדל,אלמגור-בריטמן נאמנות,פטורה,0.650,0.0400,52.6,26.02.2026,135.95,135.95,‎-0.05,0.15,0.74,6.36,0.18,All-Bond כללי,0.35%
"מגדל אג""ח חברות",5104849,0,A,"אג""ח בארץ - חברות והמרה",חברות והמרה ללא מניות,חברות והמרה ללא מניות עם סימן קריאה,,מגדל,אלמגור-בריטמן נאמנות,פטורה,0.880,0.0400,381.9,26.02.2026,261.93,261.93,‎-0.28,‎-0.46,0.22,5.24,0.32,"אג""ח כללי - קונצרני",0.35%
איילון מניות בנקים,5104922,4,A,מניות בארץ,מניות לפי ענפים,,,איילון,יובנק נאמנות,פטורה,1.150,0.0300,1255.0,26.02.2026,595.87,595.87,‎-2.98,1.16,8.02,56.32,2.83,"ת""א בנקים-5",0.35%
קסם אקט אירופה,5104948,4,D,"מניות בחו""ל",מניות גאוגרפי,"מניות גיאוגרפי אחר חשופת מט""ח","הקרן הינה קרן בלתי מוגבלת בני""ע חוץ",קסם,מזרחי טפחות נאמנות,פטורה,1.950,0.0400,10.3,25.02.2026,274.05,274.05,0.89,2.75,3.05,14.05,1.42,"STOXX Europe 600 - NTR,אירו",0.35%
מיטב בונד A ומעלה,5105143,1,B,"אג""ח בארץ - חברות והמרה",חברות והמרה עם מניות,חברות והמרה עם מניות ללא סימן קריאה,,מיטב קרנות נאמנות,יובנק נאמנות,פטורה,1.020,0.0400,253.9,26.02.2026,216.94,216.94,‎-0.12,0.09,1.02,10.27,0.36,"אג""ח כללי - קונצרני",0.35%
הפניקס קסם ממשלתי שקלי,5105176,0,A,"אג""ח בארץ - מדינה","אג""ח מדינה שקליות - ללא מניות",,,קסם,אלמגור-בריטמן נאמנות,פטורה,0.850,0.0400,280.0,26.02.2026,145.42,145.42,‎-0.24,0.27,1.21,6.82,0.30,"תל גוב – לא צמודות,תל בונד שקלי",0.35%
אש (4D) ירוקה גלובלי,5105218,4,D,"מניות בחו""ל","מניות לפי ענפים בחו""ל",,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ",אלטשולר-שחם קרנות,יובנק נאמנות,פטורה,2.250,0.0400,32.8,25.02.2026,209.50,209.50,‎-0.27,5.34,10.91,22.40,1.97,"WilderHill New Energy Global Innovation Index USD Net TR - NTR,דולר ארה""ב",0.35%
מגדל אפ 15/85,5105259,2,B,"אג""ח בארץ - כללי","אג""ח כללי בארץ - עד 15% מניות",,,מגדל,אלמגור-בריטמן נאמנות,פטורה,0.890,0.0450,429.1,26.02.2026,268.05,268.05,‎-0.32,‎-0.92,0.28,8.39,0.40,All-Bond כללי,0.35%
ברומטר (2B)י 15/85,5105267,2,B,"אג""ח בארץ - כללי","אג""ח כללי בארץ - עד 15% מניות",,,איילון,יובנק נאמנות,פטורה,0.930,0.0350,741.8,26.02.2026,289.54,289.54,‎-0.19,0.04,1.10,10.35,0.33,"All-Bond כללי,ת""א 125",0.35%
כוון (2B)י 20/80,5105317,2,B,"אג""ח בארץ - כללי","אג""ח כללי בארץ - עד 20% מניות",,,איילון,יובנק נאמנות,חייבת,0.890,0.0450,21.9,26.02.2026,208.73,208.73,‎-0.18,0.42,2.63,16.06,0.52,"All-Bond כללי,מניות כללי",0.35%
"אילים אג""ח מדינה +10%",5105382,1,B,"אג""ח בארץ - מדינה","אג""ח מדינה כללי - עד 10% מניות",,,אילים קרנות,יובנק נאמנות,פטורה,0.690,0.0300,501.1,26.02.2026,222.26,222.26,‎-0.27,0.14,1.27,9.75,0.36,"תל גוב-כללי,ת""א 125",0.35%
"הראל אג""ח עולמי",5105390,0,D,"אג""ח בחו""ל","אג""ח חשופת מט""ח",,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ",הראל,מזרחי טפחות נאמנות,פטורה,0.780,0.0400,59.5,25.02.2026,112.80,112.80,‎-0.36,0.53,‎-1.57,‎-5.27,0.89,"Bloomberg Intermediate Corporate Total Return Index Value Unhedged USD - GTR,דולר ארה""ב",0.35%
אלטשולר שחם S&P 500,5105531,4,D,"מניות בחו""ל",מניות גאוגרפי,"ארה""ב חשופת מט""ח","הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,קרן להשקעות חוץ – מטבע עיקרי - דולר ארה""ב",אלטשולר-שחם קרנות,יובנק נאמנות,פטורה,1.600,0.0400,630.2,25.02.2026,372.62,372.62,0.40,‎-0.47,‎-2.09,3.25,1.35,"S&P 500 - NTR,דולר ארה""ב",0.35%
מיטב עוקבת תיק 2 בינל,5105580,2,B,"אג""ח בארץ - כללי","אג""ח כללי בארץ - עד 15% מניות",,הקרן עוקבת תיק של - הבנק הבינלאומי הראשון לישראל,מיטב קרנות נאמנות,מזרחי טפחות נאמנות,פטורה,0.740,0.0300,449.1,26.02.2026,127.09,127.09,‎-0.14,0.11,0.67,8.22,0.27,All-Bond כללי,0.35%
איילון 10/90 תק אג חו נ$,5105614,1,D,"אג""ח בחו""ל","אג""ח נקובת מט""ח",,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,יחידות הקרן נקובות ב- $,קרן להשקעות חוץ – מטבע עיקרי - דולר ארה""ב,קרן להשק חוץ-פטור ממס לתושבי חוץ",איילון,יובנק נאמנות,פטורה,0.880,0.0400,94.6,25.02.2026,37.50,37.50,‎-0.37,0.88,‎-2.12,‎-7.70,1.06,"Bloomberg US Intermediate Credit - GTR,S&P 500 - NTR,דולר ארה""ב",0.35%
קסם אקט קונצרני A ומעלה,5105648,0,A,"אג""ח בארץ - חברות והמרה",חברות והמרה ללא מניות,"חברות והמרה ללא מניות וללא סימן קריאה, עם מגבלת מח""מ עד 5 שנים",,קסם,אלמגור-בריטמן נאמנות,פטורה,0.720,0.0400,441.0,26.02.2026,201.28,201.28,‎-0.19,‎-0.15,0.41,6.01,0.28,"תל בונד 60 צמודות,תל בונד שקלי",0.35%
